date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
6/28/2020,0.386,0.511,0.314,0.303,0.387,0.254
6/29/2020,0.359,0.476,0.295,0.306,0.343,0.281
6/30/2020,0.569,0.579,0.57,0.434,0.468,0.42
7/1/2020,0.427,0.451,0.413,0.345,0.385,0.32
7/2/2020,0.301,0.432,0.236,0.216,0.295,0.174
7/3/2020,0.21,0.255,0.187,0.13,0.129,0.128
7/4/2020,0.67,0.732,0.639,0.402,0.442,0.385
7/5/2020,0.532,0.476,0.558,0.302,0.314,0.294
7/6/2020,0.435,0.46,0.428,0.341,0.352,0.341
7/7/2020,0.151,0.181,0.142,0.122,0.152,0.113
7/8/2020,0.167,0.198,0.142,0.07,0.096,0.053
7/9/2020,0.352,0.265,0.382,0.312,0.278,0.315
7/10/2020,0.286,0.279,0.273,0.187,0.186,0.182
7/11/2020,0.261,0.206,0.265,0.216,0.148,0.236
7/12/2020,0.118,0.009,0.168,0.151,0.068,0.19
7/13/2020,0.099,0.057,0.112,0.064,0.047,0.072
7/14/2020,0.287,0.241,0.308,0.185,0.142,0.209
7/15/2020,0.228,0.177,0.249,0.203,0.187,0.207
7/16/2020,0.616,0.674,0.585,0.502,0.54,0.48
7/17/2020,0.368,0.346,0.363,0.287,0.287,0.279
7/18/2020,0.37,0.399,0.344,0.262,0.306,0.234
7/19/2020,0.198,0.213,0.179,0.182,0.201,0.169
7/20/2020,-0.135,-0.157,-0.132,0.016,0.016,0.013
7/21/2020,0.322,0.253,0.35,0.173,0.113,0.2
7/22/2020,0.369,0.374,0.361,0.323,0.311,0.322
7/23/2020,0.525,0.589,0.489,0.308,0.344,0.289
7/24/2020,0.408,0.385,0.397,0.357,0.362,0.34
7/25/2020,0.464,0.48,0.443,0.415,0.438,0.393
7/26/2020,0.528,0.554,0.523,0.368,0.385,0.373
7/27/2020,0.289,0.249,0.303,0.162,0.129,0.171
7/28/2020,0.586,0.62,0.567,0.374,0.408,0.357
7/29/2020,0.079,0.051,0.077,0.162,0.175,0.146
7/30/2020,0.062,0.036,0.067,0.039,0.019,0.047
7/31/2020,0.332,0.395,0.294,0.298,0.34,0.273
8/1/2020,0.253,0.299,0.233,0.266,0.312,0.242
8/2/2020,0.428,0.506,0.388,0.336,0.369,0.322
8/3/2020,0.132,0.237,0.076,0.216,0.304,0.168
8/4/2020,0.22,0.211,0.172,0.337,0.331,0.305
8/5/2020,0.421,0.58,0.32,0.345,0.456,0.279
8/6/2020,0.225,0.258,0.19,0.269,0.321,0.233
8/7/2020,0.343,0.434,0.31,0.322,0.417,0.282
8/8/2020,0.335,0.291,0.363,0.237,0.235,0.234
8/9/2020,0.268,0.42,0.221,0.296,0.428,0.254
8/10/2020,0.153,0.166,0.157,0.15,0.16,0.146
8/11/2020,0.098,0.184,0.05,0.082,0.139,0.052
8/12/2020,-0.02,0.066,-0.065,0.021,0.07,-0.004
8/13/2020,0.078,0.225,0.004,0.1,0.203,0.043
8/14/2020,-0.05,-0.075,-0.046,0.026,0.03,0.02
8/15/2020,-0.018,-0.046,-0.034,0.031,0.043,0.015
8/16/2020,0.248,0.286,0.201,0.202,0.202,0.181
8/17/2020,-0.074,0.056,-0.099,-0.044,0.059,-0.069
8/18/2020,-0.239,-0.131,-0.307,-0.036,0.044,-0.088
8/19/2020,-0.171,-0.079,-0.23,0.002,0.065,-0.041
8/20/2020,0.093,0.021,0.126,0.075,0.065,0.084
8/21/2020,-0.079,-0.145,-0.042,0.035,0.021,0.05
8/22/2020,0.424,0.55,0.347,0.414,0.504,0.349
8/23/2020,0.655,0.752,0.578,0.382,0.456,0.335
8/24/2020,0.32,0.326,0.345,0.132,0.169,0.131
8/25/2020,0.281,0.323,0.261,0.194,0.204,0.186
8/26/2020,0.188,0.172,0.201,0.16,0.147,0.169
8/27/2020,0.265,0.279,0.234,0.14,0.158,0.114
8/28/2020,0.317,0.424,0.295,0.192,0.208,0.191
8/29/2020,0.185,0.281,0.141,0.234,0.287,0.209
8/30/2020,0.302,0.354,0.256,0.335,0.394,0.287
8/31/2020,0.531,0.608,0.484,0.502,0.501,0.495
9/1/2020,0.544,0.6,0.499,0.498,0.554,0.458
9/2/2020,0.054,-0.136,0.101,0.206,0.15,0.21
9/3/2020,0.295,0.32,0.278,0.259,0.318,0.223
9/4/2020,0.6,0.609,0.578,0.451,0.435,0.446
9/5/2020,0.526,0.599,0.468,0.416,0.48,0.37
9/6/2020,0.409,0.414,0.394,0.279,0.283,0.272
9/7/2020,0.715,0.858,0.584,0.409,0.489,0.333
9/8/2020,0.457,0.515,0.389,0.419,0.469,0.366
9/9/2020,0.105,0.043,0.157,0.167,0.12,0.205
9/10/2020,0.198,0.335,0.155,0.158,0.18,0.152
9/11/2020,0.215,0.267,0.21,0.151,0.178,0.146
9/12/2020,0.409,0.467,0.387,0.277,0.33,0.258
9/13/2020,0.361,0.402,0.329,0.306,0.371,0.262
9/14/2020,0.439,0.456,0.432,0.412,0.405,0.42
9/15/2020,0.318,0.338,0.342,0.34,0.334,0.358
9/16/2020,-0.142,-0.022,-0.19,0.009,0.075,-0.027
9/17/2020,-0.082,0.004,-0.111,-0.061,-0.025,-0.064
9/18/2020,0.175,0.199,0.114,0.197,0.213,0.166
9/19/2020,0.066,0.216,-0.029,0.096,0.164,0.044
9/20/2020,0.111,0.25,0.016,0.117,0.185,0.066
9/21/2020,0.154,0.19,0.152,0.193,0.205,0.201
9/22/2020,0.194,0.104,0.23,0.197,0.151,0.204
9/23/2020,0.487,0.48,0.49,0.328,0.314,0.332
9/24/2020,0.539,0.583,0.512,0.396,0.427,0.373
9/25/2020,0.389,0.382,0.395,0.263,0.257,0.268
9/26/2020,0.453,0.548,0.407,0.275,0.312,0.253
9/27/2020,0.463,0.692,0.305,0.404,0.547,0.307
9/28/2020,0.594,0.654,0.536,0.389,0.43,0.358
9/29/2020,0.767,0.886,0.664,0.428,0.513,0.358
9/30/2020,0.441,0.529,0.376,0.38,0.451,0.33
10/1/2020,0.071,-0.002,0.092,0.162,0.137,0.167
10/2/2020,0.424,0.527,0.374,0.323,0.409,0.268
10/3/2020,0.548,0.756,0.387,0.538,0.63,0.447
10/4/2020,0.486,0.528,0.435,0.34,0.362,0.312
10/5/2020,0.408,0.499,0.309,0.461,0.557,0.371
10/6/2020,0.573,0.619,0.552,0.425,0.469,0.408
10/7/2020,0.476,0.496,0.456,0.268,0.242,0.285
10/8/2020,0.66,0.71,0.62,0.595,0.631,0.564
10/9/2020,0.022,0.056,-0.003,0.092,0.115,0.073
10/10/2020,0.444,0.328,0.492,0.339,0.236,0.385
10/11/2020,0.495,0.678,0.361,0.32,0.343,0.279
10/12/2020,0.316,0.45,0.229,0.3,0.363,0.247
10/13/2020,0.393,0.445,0.37,0.285,0.314,0.274
10/14/2020,0.228,0.109,0.242,0.163,0.054,0.185
10/15/2020,0.039,-0.054,0.08,0.031,-0.039,0.068
10/16/2020,0.049,0.029,0.057,0.081,0.04,0.101
10/17/2020,0.352,0.482,0.238,0.267,0.351,0.199
10/18/2020,0.373,0.313,0.381,0.322,0.327,0.301
10/19/2020,0.383,0.275,0.432,0.313,0.255,0.341
10/20/2020,-0.287,-0.238,-0.325,-0.052,-0.017,-0.079
10/21/2020,0.811,0.821,0.793,0.678,0.692,0.66
10/22/2020,0.347,0.31,0.313,0.226,0.223,0.187
10/23/2020,0.178,0.175,0.164,0.144,0.132,0.143
10/24/2020,0.018,-0.092,0.028,0.028,-0.052,0.034
10/25/2020,-0.344,-0.286,-0.372,-0.032,0.005,-0.05
10/26/2020,0.271,0.298,0.251,0.299,0.326,0.267
10/27/2020,0.642,0.676,0.621,0.337,0.343,0.336
10/28/2020,0.632,0.632,0.635,0.397,0.38,0.4
10/29/2020,0.191,0.199,0.176,0.251,0.292,0.225
