date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
7/13/2020,-0.02,0.306,-0.144,0.068,0.31,-0.021
7/14/2020,-0.139,0.001,-0.188,-0.023,0.104,-0.074
7/15/2020,0.2,0.383,0.109,0.177,0.309,0.114
7/16/2020,0.058,0.402,-0.061,0.029,0.278,-0.073
7/17/2020,-0.189,-0.392,-0.084,-0.039,-0.155,0.02
7/18/2020,-0.174,-0.325,-0.107,-0.011,-0.059,0.011
7/19/2020,0.06,0.408,-0.09,0.156,0.405,0.045
7/20/2020,0.017,0.33,-0.114,0.055,0.275,-0.027
7/21/2020,0.401,0.445,0.39,0.267,0.312,0.253
7/22/2020,0.097,0.193,0.083,0.138,0.233,0.113
7/23/2020,0.073,0.361,-0.03,0.079,0.316,-0.011
7/24/2020,0.622,0.716,0.57,0.439,0.527,0.384
7/25/2020,0.393,0.693,0.22,0.251,0.485,0.118
7/26/2020,0.581,0.785,0.48,0.416,0.579,0.316
7/27/2020,0.471,0.72,0.324,0.473,0.636,0.367
7/28/2020,0.517,0.61,0.484,0.362,0.424,0.341
7/29/2020,0.028,0.43,-0.153,0.064,0.323,-0.054
7/30/2020,-0.165,0.134,-0.281,-0.124,0.122,-0.218
7/31/2020,0.249,0.504,0.112,0.182,0.345,0.096
8/1/2020,-0.73,-0.859,-0.626,-0.33,-0.378,-0.291
8/2/2020,-0.046,0.168,-0.076,0.068,0.278,-0.008
8/3/2020,-0.309,0.044,-0.45,-0.188,0.056,-0.274
8/4/2020,-0.118,-0.215,-0.082,-0.088,-0.12,-0.097
8/5/2020,0.265,0.68,0.046,0.11,0.457,-0.045
8/6/2020,0.476,0.727,0.341,0.414,0.601,0.311
8/7/2020,0.603,0.847,0.432,0.426,0.617,0.286
8/8/2020,0.598,0.813,0.4,0.556,0.691,0.425
8/9/2020,0.03,0.096,0.007,-0.017,0.025,-0.044
8/10/2020,0.457,0.806,0.188,0.453,0.697,0.259
8/11/2020,-0.151,-0.23,-0.173,-0.051,-0.004,-0.092
8/12/2020,0.321,0.607,0.169,0.241,0.455,0.124
8/13/2020,0.388,0.608,0.276,0.241,0.374,0.175
8/14/2020,0.254,0.718,-0.061,0.181,0.457,0.01
8/15/2020,0.322,0.723,0.032,0.313,0.596,0.126
8/16/2020,0.535,0.675,0.495,0.054,0.14,0.018
8/17/2020,0.464,0.777,0.266,0.269,0.512,0.154
8/18/2020,-0.131,0.238,-0.276,-0.031,0.211,-0.122
8/19/2020,0.7,0.876,0.566,0.442,0.574,0.35
8/20/2020,0.35,0.615,0.161,0.315,0.502,0.171
8/21/2020,0.651,0.854,0.458,0.47,0.598,0.356
8/22/2020,-0.401,-0.075,-0.494,-0.262,-0.025,-0.328
8/23/2020,0.691,0.855,0.554,0.485,0.603,0.402
8/24/2020,0.322,0.594,0.181,0.306,0.491,0.209
8/25/2020,0.547,0.759,0.411,0.33,0.448,0.262
8/26/2020,0.053,0.517,-0.176,0.131,0.428,-0.035
8/27/2020,0.281,0.623,0.084,0.296,0.518,0.165
8/28/2020,0.007,0.456,-0.209,0.036,0.339,-0.111
8/29/2020,0.311,0.671,0.064,0.326,0.574,0.163
8/30/2020,0.29,0.707,0.052,0.353,0.631,0.177
8/31/2020,0.617,0.85,0.51,0.456,0.667,0.343
9/1/2020,0.736,0.876,0.629,0.509,0.619,0.42
9/2/2020,0.9,0.98,0.798,0.652,0.718,0.58
9/3/2020,0.039,0.379,-0.092,0.195,0.445,0.09
9/4/2020,0.115,0.237,0.002,0.163,0.237,0.083
9/5/2020,0.392,0.721,0.135,0.322,0.488,0.192
9/6/2020,0.688,0.894,0.494,0.399,0.593,0.262
9/7/2020,-0.691,-0.862,-0.572,-0.315,-0.478,-0.222
9/8/2020,0.423,0.693,0.231,0.142,0.35,0.012
9/9/2020,0.372,0.675,0.205,0.35,0.565,0.234
9/10/2020,0.141,0.519,-0.094,0.261,0.518,0.089
9/11/2020,0.484,0.734,0.339,0.393,0.536,0.305
9/12/2020,0.516,0.75,0.352,0.309,0.492,0.197
9/13/2020,0.144,0.016,0.222,0.252,0.285,0.241
9/14/2020,0.38,0.719,0.177,0.228,0.495,0.088
9/15/2020,0.23,0.46,0.145,0.273,0.444,0.202
9/16/2020,0.024,0.352,-0.093,0.139,0.368,0.058
9/17/2020,0.383,0.576,0.236,0.306,0.45,0.202
9/18/2020,0.059,0.431,-0.134,0.126,0.384,0.004
9/19/2020,0.632,0.905,0.363,0.467,0.674,0.269
9/20/2020,0.362,0.673,0.133,0.26,0.457,0.116
9/21/2020,-0.177,0.223,-0.326,-0.014,0.3,-0.156
9/22/2020,0.216,0.361,0.131,0.187,0.347,0.088
9/23/2020,0.123,0.546,-0.075,0.177,0.507,0.003
9/24/2020,0.435,0.764,0.191,0.194,0.405,0.072
9/25/2020,-0.014,0.08,-0.049,-0.098,-0.057,-0.122
9/26/2020,0.728,0.954,0.45,0.526,0.676,0.336
9/27/2020,0.291,0.772,-0.003,-0.045,0.214,-0.201
9/28/2020,-0.019,0.346,-0.159,-0.025,0.28,-0.137
9/29/2020,0.583,0.839,0.374,0.451,0.601,0.324
9/30/2020,0.154,0.517,0.009,0.089,0.386,-0.036
10/1/2020,0.663,0.946,0.29,0.524,0.751,0.223
10/2/2020,0.297,0.589,0.125,0.367,0.573,0.227
10/3/2020,-1.0,-1.0,-0.999,-0.465,-0.472,-0.466
10/4/2020,0.947,0.996,0.823,0.765,0.802,0.66
10/5/2020,0.647,0.736,0.558,0.472,0.545,0.41
10/6/2020,0.349,0.575,0.187,0.363,0.503,0.255
10/7/2020,-0.417,-0.123,-0.536,0.071,0.238,-0.011
10/8/2020,0.104,0.55,-0.138,0.093,0.372,-0.04
10/9/2020,0.419,0.627,0.31,0.149,0.324,0.053
10/10/2020,-0.04,-0.009,0.026,-0.104,-0.091,-0.078
10/11/2020,-0.569,-0.596,-0.516,-0.258,-0.205,-0.277
10/12/2020,0.312,0.603,0.136,0.23,0.494,0.072
10/13/2020,0.987,0.996,0.977,0.775,0.781,0.767
10/14/2020,0.241,0.614,0.012,0.188,0.473,0.023
10/15/2020,0.523,0.783,0.356,0.316,0.529,0.184
10/16/2020,0.669,0.92,0.404,0.545,0.71,0.371
10/17/2020,0.198,0.549,0.005,0.044,0.245,-0.068
10/18/2020,0.253,0.54,0.124,0.119,0.374,0.005
10/19/2020,0.166,0.646,-0.064,0.153,0.522,-0.036
10/20/2020,-0.586,-0.389,-0.628,-0.186,-0.088,-0.218
10/21/2020,0.935,0.992,0.839,0.606,0.622,0.532
10/22/2020,0.74,0.901,0.596,0.563,0.712,0.435
10/23/2020,0.381,0.644,0.272,0.213,0.439,0.135
10/24/2020,0.248,0.525,0.031,0.364,0.531,0.228
10/25/2020,0.546,0.786,0.385,0.423,0.616,0.32
10/26/2020,-0.176,0.128,-0.264,-0.014,0.188,-0.081
10/27/2020,0.434,0.888,-0.034,0.319,0.548,0.088
10/28/2020,0.894,0.982,0.739,0.698,0.782,0.568
10/29/2020,0.187,0.458,-0.017,0.181,0.378,0.051
10/30/2020,-0.002,0.289,-0.112,0.041,0.311,-0.074
