date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
6/23/2020,-0.137,0.005,-0.21,0.061,0.135,0.021
6/24/2020,0.521,0.565,0.488,0.281,0.314,0.26
6/25/2020,0.43,0.219,0.513,0.29,0.234,0.312
6/26/2020,0.539,0.701,0.438,0.336,0.425,0.289
6/27/2020,-0.354,-0.313,-0.38,-0.118,-0.061,-0.146
6/28/2020,1.0,1.0,0.999,0.449,0.498,0.426
6/29/2020,-1.0,-1.0,-1.0,-0.621,-0.674,-0.6
6/30/2020,0.553,0.6,0.537,0.25,0.294,0.227
7/1/2020,0.372,0.429,0.35,0.394,0.411,0.39
7/2/2020,0.003,0.031,-0.003,0.107,0.15,0.087
7/3/2020,0.767,0.876,0.678,0.39,0.427,0.362
7/4/2020,0.267,0.151,0.335,0.093,0.044,0.111
7/5/2020,0.04,0.09,0.001,-0.016,0.029,-0.054
7/6/2020,0.869,0.941,0.813,0.458,0.451,0.462
7/7/2020,-0.035,-0.343,0.103,-0.014,-0.101,0.03
7/8/2020,0.153,0.24,0.125,0.236,0.344,0.193
7/9/2020,0.234,0.22,0.231,0.181,0.134,0.203
7/10/2020,-0.585,-0.637,-0.54,-0.18,-0.182,-0.174
7/11/2020,0.052,0.011,0.089,0.145,0.147,0.15
7/12/2020,0.313,0.311,0.319,0.314,0.316,0.317
7/13/2020,0.741,0.84,0.686,0.39,0.437,0.363
7/14/2020,0.547,0.607,0.501,0.34,0.362,0.32
7/15/2020,0.269,0.182,0.269,0.257,0.268,0.231
7/16/2020,0.042,0.198,-0.008,0.039,0.125,0.01
7/17/2020,-0.175,-0.138,-0.178,-0.141,-0.159,-0.123
7/18/2020,0.455,0.635,0.367,0.24,0.299,0.209
7/19/2020,0.732,0.852,0.65,0.47,0.569,0.415
7/20/2020,0.068,0.004,0.074,0.019,-0.021,0.034
7/21/2020,-0.275,-0.368,-0.233,-0.217,-0.284,-0.186
7/22/2020,-0.467,-0.411,-0.445,-0.176,-0.162,-0.163
7/23/2020,0.396,0.497,0.35,0.425,0.517,0.378
7/24/2020,0.069,0.12,0.019,0.082,0.078,0.072
7/25/2020,-0.12,-0.119,-0.116,0.139,0.153,0.134
7/26/2020,0.081,0.168,0.05,0.228,0.268,0.217
7/27/2020,-0.202,-0.15,-0.239,-0.016,-0.046,-0.005
7/28/2020,-0.058,0.057,-0.098,0.072,0.105,0.065
7/29/2020,-0.558,-0.522,-0.552,-0.122,-0.124,-0.113
7/30/2020,-0.376,-0.268,-0.406,-0.11,-0.049,-0.127
7/31/2020,0.151,0.227,0.108,0.126,0.189,0.097
8/1/2020,0.335,0.44,0.268,0.161,0.242,0.131
8/2/2020,-0.192,0.085,-0.32,-0.068,0.067,-0.125
8/3/2020,0.017,0.142,-0.081,0.155,0.21,0.112
8/4/2020,0.302,0.375,0.244,0.016,0.025,0.009
8/5/2020,0.416,0.668,0.208,0.289,0.425,0.196
8/6/2020,0.179,0.21,0.1,0.086,0.098,0.051
8/7/2020,-0.618,-0.646,-0.679,-0.336,-0.346,-0.365
8/8/2020,0.228,0.317,0.174,0.059,0.139,0.004
8/9/2020,0.004,0.072,-0.08,-0.005,0.032,-0.05
8/10/2020,-0.386,-0.398,-0.442,-0.293,-0.345,-0.305
8/11/2020,-0.383,-0.466,-0.414,-0.12,-0.208,-0.114
8/12/2020,0.279,0.349,0.233,0.131,0.169,0.102
8/13/2020,0.87,0.939,0.817,0.507,0.527,0.496
8/14/2020,0.217,0.17,0.215,0.064,0.036,0.068
8/15/2020,-0.54,-0.44,-0.607,-0.37,-0.393,-0.33
8/16/2020,-0.125,0.233,-0.384,0.078,0.209,-0.02
8/17/2020,-0.666,-0.794,-0.649,-0.246,-0.258,-0.264
8/18/2020,0.021,0.038,-0.085,0.119,0.131,0.067
8/19/2020,-0.487,-0.537,-0.465,-0.138,-0.144,-0.129
8/20/2020,-0.559,-0.571,-0.588,-0.282,-0.342,-0.271
8/21/2020,0.245,0.125,0.298,0.275,0.195,0.312
8/22/2020,-0.21,-0.081,-0.336,0.159,0.242,0.087
8/23/2020,0.821,0.972,0.592,0.568,0.649,0.466
8/24/2020,-0.42,-0.394,-0.508,-0.038,-0.0,-0.084
8/25/2020,0.258,0.53,0.116,0.305,0.401,0.247
8/26/2020,-0.139,-0.049,-0.226,-0.073,-0.001,-0.111
8/27/2020,0.142,0.095,0.147,0.252,0.275,0.232
8/28/2020,-0.118,-0.023,-0.188,0.113,0.212,0.052
8/29/2020,0.353,0.711,0.132,0.136,0.341,0.031
8/30/2020,-0.078,0.122,-0.264,0.168,0.339,0.038
8/31/2020,0.341,0.534,0.229,0.228,0.286,0.191
9/1/2020,0.574,0.706,0.469,0.246,0.23,0.253
9/2/2020,0.034,0.083,-0.026,0.122,0.134,0.094
9/3/2020,-0.154,-0.242,-0.104,-0.115,-0.193,-0.051
9/4/2020,0.388,0.631,0.222,0.221,0.275,0.186
9/5/2020,-0.142,-0.068,-0.268,-0.11,-0.034,-0.163
9/6/2020,-0.621,-0.563,-0.682,-0.391,-0.412,-0.388
9/7/2020,-0.268,-0.319,-0.215,-0.098,-0.144,-0.042
9/8/2020,0.279,0.497,0.12,0.226,0.34,0.147
9/9/2020,0.215,0.506,0.011,0.046,0.151,-0.03
9/10/2020,-0.539,-0.427,-0.62,-0.491,-0.56,-0.443
9/11/2020,0.176,0.219,0.118,0.223,0.24,0.202
9/12/2020,0.548,0.698,0.468,0.201,0.219,0.193
9/13/2020,-0.764,-0.845,-0.73,-0.28,-0.302,-0.261
9/14/2020,0.249,0.524,0.085,0.305,0.548,0.164
9/15/2020,0.24,0.177,0.283,0.302,0.263,0.328
9/16/2020,-0.038,0.11,-0.116,0.112,0.207,0.053
9/17/2020,-0.184,-0.107,-0.247,-0.012,0.024,-0.042
9/18/2020,0.223,0.261,0.191,-0.061,-0.078,-0.047
9/19/2020,-0.224,-0.202,-0.197,-0.151,-0.159,-0.128
9/20/2020,0.316,0.225,0.305,0.144,0.104,0.128
9/21/2020,0.654,0.868,0.469,0.464,0.561,0.377
9/22/2020,0.33,0.384,0.276,0.261,0.266,0.249
9/23/2020,0.544,0.578,0.522,0.41,0.448,0.371
9/24/2020,0.515,0.628,0.43,0.376,0.501,0.296
9/25/2020,0.144,0.074,0.117,0.196,0.187,0.161
9/26/2020,0.062,0.156,-0.006,-0.044,0.02,-0.094
9/27/2020,-1.0,-1.0,-0.999,-0.657,-0.638,-0.668
9/28/2020,-0.444,-0.54,-0.371,-0.159,-0.184,-0.138
9/29/2020,0.137,0.328,0.06,0.026,0.134,-0.02
9/30/2020,0.064,0.178,0.024,0.137,0.249,0.082
10/1/2020,0.779,0.905,0.66,0.457,0.6,0.342
10/2/2020,-0.256,-0.332,-0.135,-0.263,-0.32,-0.19
10/3/2020,-0.873,-0.965,-0.782,-0.166,-0.186,-0.132
10/4/2020,-0.21,-0.078,-0.333,-0.055,-0.009,-0.09
10/5/2020,-0.375,-0.285,-0.433,-0.134,-0.099,-0.15
10/6/2020,0.406,0.586,0.292,0.285,0.367,0.233
10/7/2020,-0.325,-0.377,-0.251,-0.096,-0.11,-0.068
10/8/2020,0.374,0.582,0.29,0.188,0.283,0.165
10/9/2020,-0.299,-0.216,-0.364,0.054,0.112,0.026
10/10/2020,-0.597,-0.553,-0.562,-0.236,-0.192,-0.236
10/11/2020,-0.969,-0.99,-0.952,-0.401,-0.38,-0.391
10/12/2020,-0.238,-0.296,-0.213,-0.104,-0.165,-0.075
10/13/2020,-0.122,-0.152,-0.102,-0.044,-0.043,-0.031
10/14/2020,-0.047,0.013,-0.076,0.149,0.192,0.131
10/15/2020,0.133,0.458,-0.024,0.263,0.43,0.169
10/16/2020,-0.099,0.132,-0.239,-0.037,0.045,-0.096
10/17/2020,-0.486,-0.262,-0.6,-0.203,-0.044,-0.28
10/18/2020,-0.827,-0.956,-0.686,-0.422,-0.468,-0.363
10/19/2020,-0.515,-0.556,-0.48,-0.194,-0.259,-0.153
10/20/2020,-0.266,-0.288,-0.265,-0.083,-0.095,-0.077
10/21/2020,-0.025,-0.245,0.079,0.023,-0.048,0.068
10/22/2020,0.562,0.584,0.505,0.17,0.138,0.167
10/23/2020,0.776,0.88,0.726,0.335,0.425,0.283
10/24/2020,0.255,0.524,0.115,-0.042,-0.01,-0.08
10/25/2020,-0.019,0.175,-0.162,-0.039,0.055,-0.113
10/26/2020,0.446,0.746,0.214,0.287,0.48,0.154
10/27/2020,0.499,0.497,0.48,0.356,0.422,0.309
10/28/2020,-0.373,-0.191,-0.435,-0.178,-0.115,-0.201
10/29/2020,-0.367,-0.192,-0.415,-0.011,0.058,-0.036
10/30/2020,-0.408,-0.276,-0.457,0.001,0.098,-0.034
10/31/2020,-0.476,-0.497,-0.4,-0.026,-0.042,0.011
11/1/2020,-1.0,-1.0,-0.999,-0.341,-0.342,-0.341
11/2/2020,-0.087,0.09,-0.226,-0.169,-0.13,-0.186
11/3/2020,0.296,0.446,0.225,0.164,0.237,0.145
11/4/2020,-0.53,-0.712,-0.351,-0.459,-0.588,-0.34
11/5/2020,0.143,0.275,0.073,0.135,0.155,0.122
11/6/2020,-0.295,0.012,-0.415,-0.254,-0.206,-0.265
11/7/2020,-0.27,-0.615,-0.063,0.068,0.018,0.103
11/8/2020,-1.0,-1.0,-0.999,-0.224,-0.084,-0.337
11/9/2020,-0.732,-0.919,-0.525,-0.613,-0.786,-0.46
11/10/2020,0.313,0.384,0.276,0.07,0.104,0.054
11/11/2020,-0.231,-0.32,-0.173,-0.089,-0.136,-0.066
11/12/2020,-0.439,-0.62,-0.362,-0.284,-0.47,-0.207
11/13/2020,0.847,0.961,0.734,0.483,0.511,0.447
11/14/2020,0.999,1.0,0.997,0.422,0.422,0.421
