date,sentiment_mean,sentiment_squared_mean,sentiment_sqrt_mean,sentiment_with_prob
5/16/2020,0.192,0.355,0.099,[-2.596  2.596]
5/17/2020,-0.237,-0.261,-0.226,[-7.931  2.931]
5/18/2020,0.404,0.442,0.394,[-0.347  9.347]
5/19/2020,-0.267,-0.123,-0.322,[-15.785   0.785]
5/20/2020,0.033,0.016,0.038,[-5.301  6.301]
5/21/2020,0.001,0.193,-0.077,[-6.577  3.577]
5/22/2020,0.042,0.096,0.019,[-4.771  4.771]
5/23/2020,-0.054,-0.058,-0.057,[-4.744  3.744]
5/24/2020,0.132,-0.039,0.212,[-2.213  6.213]
5/25/2020,-0.127,-0.083,-0.148,[-4.516  2.516]
5/26/2020,-0.287,-0.294,-0.277,[-7.288  2.288]
5/27/2020,-0.034,0.01,-0.047,[-9.389  7.389]
5/28/2020,-0.1,-0.13,-0.102,[-23.625  13.625]
5/29/2020,-0.379,-0.381,-0.377,[-60.351  -6.649]
5/30/2020,-0.607,-0.694,-0.556,[-10.212   0.212]
5/31/2020,-0.382,-0.249,-0.434,[-11.193   0.193]
6/1/2020,-0.334,-0.178,-0.398,[-16.047   1.047]
6/2/2020,-0.347,-0.469,-0.295,[-18.293   6.293]
6/3/2020,-0.422,-0.394,-0.425,[-11.849   1.849]
6/4/2020,-0.07,-0.096,-0.067,[-8.435  6.435]
6/5/2020,-0.187,-0.174,-0.194,[-8.655  3.655]
6/6/2020,0.149,0.084,0.166,[-2.547  6.547]
6/7/2020,0.068,0.318,-0.004,[-5.985  4.985]
6/8/2020,-0.056,0.083,-0.127,[-6.113  3.113]
6/9/2020,0.403,0.469,0.368,[-1.781  7.781]
6/10/2020,-0.195,-0.303,-0.145,[-5.914  3.914]
6/11/2020,0.097,0.109,0.057,[-4.636  4.636]
6/12/2020,-0.73,-0.775,-0.713,[-12.773  -1.227]
6/13/2020,-0.094,-0.037,-0.132,[-5.746  2.746]
6/14/2020,0.127,0.37,0.002,[-5.58  3.58]
6/15/2020,-0.209,-0.183,-0.251,[-7.756  2.756]
6/16/2020,-0.314,-0.309,-0.289,[-10.853   3.853]
6/17/2020,0.014,-0.074,0.066,[-5.919 11.919]
6/18/2020,-0.21,-0.304,-0.169,[-28.22  14.22]
6/19/2020,0.027,0.005,0.027,[-20.431  28.431]
6/20/2020,-0.252,-0.134,-0.255,[-10.92   8.92]
6/21/2020,0.195,0.46,0.057,[-7.529  2.529]
6/22/2020,-0.185,-0.189,-0.186,[-10.951   4.951]
6/23/2020,-0.512,-0.477,-0.512,[-50.539  -0.461]
6/24/2020,0.109,0.12,0.109,[-6.896 11.896]
6/25/2020,-0.152,-0.043,-0.207,[-36.637   1.637]
6/26/2020,-0.353,-0.226,-0.412,[-20.546  -1.454]
6/27/2020,-0.49,-0.425,-0.5,[-19.692   1.692]
6/28/2020,-0.396,-0.354,-0.404,[-7.428  0.428]
6/29/2020,-0.413,-0.471,-0.394,[-13.629   2.629]
6/30/2020,0.275,0.267,0.275,[-7.973  3.973]
7/1/2020,-0.071,-0.112,-0.065,[-13.004   7.004]
7/2/2020,-0.567,-0.483,-0.6,[-16.147   0.147]
7/3/2020,0.191,0.252,0.144,[-8.282  5.282]
7/4/2020,-0.448,-0.606,-0.335,[-3.922  3.922]
7/5/2020,0.222,0.302,0.147,[-4.64  6.64]
7/6/2020,-0.02,-0.071,-0.022,[-5.147  2.147]
7/7/2020,-0.813,-0.895,-0.771,[-28.991  -5.009]
7/8/2020,-0.353,-0.297,-0.393,[-24.235   0.235]
7/9/2020,-0.385,-0.481,-0.349,[-7.45  0.45]
7/10/2020,-0.243,-0.072,-0.307,[-11.056   5.056]
7/11/2020,-0.596,-0.528,-0.644,[-6.611  2.611]
7/12/2020,0.153,-0.131,0.234,[-2.016  6.016]
7/13/2020,-0.008,-0.068,0.024,[-4.409  7.409]
7/14/2020,-0.299,-0.188,-0.325,[-6.257  1.257]
7/15/2020,-0.512,-0.704,-0.398,[-5.689  3.689]
7/16/2020,-0.48,-0.571,-0.437,[-10.278   1.278]
7/17/2020,0.007,0.203,-0.081,[-6.868  3.868]
7/18/2020,0.466,0.407,0.486,[-0.793  4.793]
7/19/2020,-0.277,-0.382,-0.27,[-2.939  1.939]
7/20/2020,0.177,0.223,0.145,[-3.136  6.136]
7/21/2020,0.248,0.245,0.262,[-1.457  6.457]
7/22/2020,-0.035,-0.052,-0.026,[-8.252  8.252]
7/23/2020,-0.238,-0.273,-0.244,[-13.862   1.862]
7/24/2020,-0.669,-0.665,-0.67,[-60.654  -7.346]
7/25/2020,0.404,0.389,0.379,[-5.901  4.901]
7/26/2020,-0.538,-0.426,-0.57,[-28.2   2.2]
7/27/2020,-0.165,-0.083,-0.205,[-12.752   2.752]
7/28/2020,-0.673,-0.724,-0.646,[-46.744 -11.256]
7/29/2020,-0.305,-0.273,-0.301,[-39.86   3.86]
7/30/2020,-0.261,-0.21,-0.285,[-16.533   1.533]
7/31/2020,-0.179,-0.193,-0.193,[-8.635  5.635]
8/1/2020,-0.207,-0.38,-0.196,[-9.346  2.346]
8/2/2020,-0.276,-0.205,-0.303,[-9.84  1.84]
8/3/2020,-0.788,-0.83,-0.775,[-18.924  -7.076]
8/4/2020,-0.167,0.002,-0.241,[-6.989  0.989]
8/5/2020,-0.129,0.049,-0.208,[-6.101  2.101]
8/6/2020,-0.402,-0.406,-0.394,[-12.78   1.78]
8/7/2020,-0.286,-0.368,-0.295,[-9.736  1.736]
8/8/2020,-0.228,-0.353,-0.187,[-6.352  3.352]
8/9/2020,0.475,0.712,0.339,[-1.386  3.386]
8/10/2020,-0.381,-0.363,-0.438,[-6.228 -0.772]
8/11/2020,-0.684,-0.788,-0.625,[-9.635 -0.365]
8/12/2020,0.235,0.31,0.188,[-3.963  6.963]
8/13/2020,-0.59,-0.727,-0.529,[-15.724   0.724]
8/14/2020,-0.363,-0.433,-0.311,[-12.976   4.976]
8/15/2020,0.619,0.658,0.605,[ 1.184 10.816]
8/16/2020,-0.541,-0.486,-0.584,[-18.478  -2.522]
8/17/2020,-0.393,-0.338,-0.418,[-10.574  -0.426]
