date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
7/5/2020,0.073,0.078,0.085,0.022,0.014,0.034
7/6/2020,-0.337,-0.254,-0.385,-0.143,-0.093,-0.17
7/7/2020,0.438,0.645,0.321,0.379,0.529,0.293
7/8/2020,0.024,0.056,0.027,0.044,0.067,0.04
7/9/2020,0.049,0.081,0.053,0.172,0.202,0.164
7/10/2020,0.281,0.347,0.276,0.12,0.144,0.116
7/11/2020,-0.093,-0.324,0.017,-0.049,-0.149,-0.0
7/12/2020,0.178,0.202,0.181,-0.046,-0.055,-0.032
7/13/2020,-0.004,-0.055,0.011,-0.083,-0.138,-0.059
7/14/2020,-0.153,-0.175,-0.11,-0.103,-0.11,-0.095
7/15/2020,-0.088,-0.146,-0.025,0.022,-0.005,0.05
7/16/2020,0.415,0.142,0.505,0.133,-0.097,0.23
7/17/2020,0.324,0.263,0.37,0.375,0.317,0.411
7/18/2020,0.339,-0.058,0.456,0.221,0.015,0.28
7/19/2020,0.124,0.086,0.123,0.147,0.103,0.156
7/20/2020,-0.954,-0.997,-0.835,-0.405,-0.442,-0.322
7/21/2020,0.502,0.393,0.552,0.495,0.445,0.516
7/22/2020,0.32,0.356,0.313,0.221,0.232,0.222
7/23/2020,0.084,0.194,0.041,0.092,0.144,0.072
7/24/2020,0.68,0.715,0.659,0.368,0.381,0.361
7/25/2020,0.096,-0.02,0.152,0.22,0.186,0.235
7/26/2020,0.232,0.181,0.247,0.227,0.209,0.228
7/27/2020,0.305,0.292,0.317,0.136,0.144,0.134
7/28/2020,0.871,0.942,0.816,0.362,0.416,0.318
7/29/2020,0.158,-0.135,0.307,0.011,-0.202,0.107
7/30/2020,0.08,-0.026,0.14,0.022,-0.059,0.069
7/31/2020,-0.152,-0.254,-0.082,-0.019,-0.075,0.012
8/1/2020,-0.047,0.027,-0.047,0.031,0.059,0.035
